linhay/harmony-next.skills	PASS
Jayden-X-L/forkprobe	PASS
LayneChai/superpowers-dsh	PASS
yjh051108/dsh-routing-suite	PASS
Electricitysheep/dsh-tool-turbo	TASK_FAIL:
Q00/ouroboros	PASS
xiaobright/dsh-anchored-standard	PASS
zhu1090093659/dsh-web-ui	PASS
omdsh-dev/DSH-better-sidebar	INSTALL_FAIL
Nagi-ovo/dsh-visualize	PASS
omdsh-dev/dsh-genui	PASS
BruzWJ/Liang-Saint-Slider	PASS
omdsh-dev/dsh-annotation	PASS
nexu-io/open-design	INSTALL_FAIL
ccch1mneyyy/dsh-TUI	INSTALL_FAIL
hairyf/deepseek-harness-desktop	PASS
turtle2209/Bigfish	PASS
hust-open-atom-club/oh-dsh	TASK_FAIL:
huiliyi37/dsh-tianshu-tui	TASK_FAIL:[?2004l[?25l[2A[0J[?25h
anywhere-labs/deepseek-harness-desktop	PASS
liustack/modlens	PASS
Anionex/dsh-vision-toolkit	PASS
ysr666/dsh-vision-router	PASS
hellowind777/helloagents	PASS
sandbaseai/sandbase-harness	TASK_FAIL:
NanmiCoder/dsh-agent-teams	TASK_FAIL:
morluto/rea	INSTALL_FAIL
humblebanana/open-record-replay	PASS
xiufengsun/TokenTracker	PASS
alaliqing/claude-paper	INSTALL_FAIL
omdsh-dev/dsh-at-file	PASS
nutshellai-tech/mobius	PASS
mnemon-dev/mnemon	PASS
csyangwen/dsh-memory-evolve	TASK_FAIL:
EverMind-AI/EverOS	PASS
omdsh-dev/dsh-lark	INSTALL_FAIL
Moeblack/dsh-message-edit	TASK_FAIL:
Chinesezjc/dsh-interconnect	TASK_FAIL:
Lum1104/dsh-browser	INSTALL_FAIL
ZSeven-W/dsh-openpencil	INSTALL_FAIL
ZSeven-W/openpencil	INSTALL_FAIL
dsh-market/dsh-market	INSTALL_FAIL
LX2000WASD/dsh-web-plugin-manager	INSTALL_FAIL
omdsh-dev/dsh-plugin-check	INSTALL_FAIL
edison7009/EchoBird	INSTALL_FAIL
crafter-station/petdex	INSTALL_FAIL
Small-tailqwq/dsh-deep-whale	INSTALL_FAIL
Nagi-ovo/dsh-ads	INSTALL_FAIL
vlln/whale-girl	INSTALL_FAIL
ALLDONE
